Movie Name,IMDb Rating,Year of release
Pather Panchali,8.5,1955
Gol Maal,8.5,1979
Nayakan,8.5,1987
Anbe Sivam,8.5,2003
Apur Sansar,8.5,1959
Pariyerum Perumal,8.4,2018
Drishyam 2,8.4,2021
Natsamrat,8.4,2016
Kireedam,8.4,1989
Manichitrathazhu,8.4,1993
Black Friday,8.4,2004
Thevar Magan,8.4,1992
96,8.4,2018
Kumbalangi Nights,8.4,2019
3 Idiots,8.4,2009
Taare Zameen Par,8.3,2007
Visaaranai,8.3,2015
Dangal,8.3,2016
Ratsasan,8.3,2018
Thalapathi,8.3,1991
Aparajito,8.3,1956
Jaane Bhi Do Yaaro,8.3,1983
Pyaasa,8.3,1957
Guide,8.3,1965
Jersey,8.3,2019
Kannathil Muthamittal,8.3,2002
Asuran,8.3,2019
Chupke Chupke,8.2,1975
Kaithi,8.2,2019
Thani Oruvan,8.2,2015
Anand,8.2,1971
Vada Chennai,8.2,2018
Peranbu,8.2,2018
Drishyam,8.2,2013
Iruvar,8.2,1997
Vikram Vedha,8.2,2017
Soorarai Pottru,8.2,2020
Aruvi,8.2,2016
Khosla Ka Ghosla!,8.2,2006
Super Deluxe,8.2,2019
Agent Sai Srinivasa Athreya,8.2,2019
Mahanati,8.2,2018
Tumbbad,8.2,2018
Andhadhun,8.2,2018
Premam,8.2,2015
Kaakkaa Muttai,8.2,2014
Satya,8.2,1998
Shahid,8.2,2012
Dhuruvangal Pathinaaru,8.2,2016
Bangalore Days,8.2,2014
Mudhalvan,8.2,1999
Anniyan,8.2,2005
Papanasam,8.1,2015
Soodhu Kavvum,8.1,2013
Gangs of Wasseypur,8.1,2012
Jigarthanda,8.1,2014
Bhaag Milkha Bhaag,8.1,2013
Sairat,8.1,2016
Paan Singh Tomar,8.1,2012
Sholay,8.1,1975
Talvar,8.1,2015
"Swades: We, the People",8.1,2004
Hera Pheri,8.1,2000
Pithamagan,8.1,2003
Nil Battey Sannata,8.1,2015
Drishyam,8.1,2015
Chak De! India,8.1,2007
Black,8.1,2005
Charulata,8.1,1964
Mughal-E-Azam,8.1,1960
Jo Jeeta Wohi Sikandar,8.1,1992
Udaan,8.1,2010
Ustad Hotel,8.1,2012
Zindagi Na Milegi Dobara,8.1,2011
Article 15,8.1,2019
Queen,8.1,2013
Rang De Basanti,8.1,2006
A Wednesday,8.1,2008
Munna Bhai M.B.B.S.,8.1,2003
Dil Chahta Hai,8.1,2001
Maheshinte Prathikaaram,8.1,2016
Sarfarosh,8.1,1999
Masaan,8.1,2015
Andaz Apna Apna,8.1,1994
OMG: Oh My God!,8.1,2012
Roja,8.1,1992
Alai Payuthey,8.1,2000
Lagaan: Once Upon a Time in India,8.1,2001
Baasha,8.1,1995
Kahaani,8.1,2012
Theeran adhigaaram ondru,8.1,2017
PK,8.1,2014
Iqbal,8.1,2005
Lucia,8.1,2013
Uri: The Surgical Strike,8.1,2018
The Legend of Bhagat Singh,8.0,2002
Barfi!,8.0,2012
Pink,8.0,2016
Bommarillu,8.0,2006
Bombay,8.0,1995
